Rank;Name;Central Mechanisms;Turn Order;Game End Condition;Duration;Theme;Player Amount;Cooperative;Complexity;Interactivity;Relative Rating;Change Rel. Rating;Rank Count;BGG Rating;My Rating;Author(s);Year Of Release;Similar Games;Played With;Play Count;Game Material
131;Toy Battle;area majority/area movement/multiple maps/zone of control;strict clockwise;condition/running out;15;toys;2;;1;4;7.5;0.07;6;7.3;7;Paolo Mori/Alessandro Zucchini;2025;;bga;5;
150;Sobek: 2 Players;0;0;0;0;0;0;0;0;0;7.5;0;1;0;0;0;0;0;0;0;0
161;Jamaica;hand management/hand management/hidden victory points/random move/simultaneous action selection/take that/track movement;progressive;race;40;pirates/carribean;2-6 (6);;1;4;7.49;-0.02;9;7.1;7;Malcolm Braff/Bruno Cathala/Sebastian Pauchon;2007;;Jannis;1;
202;Nidavellir;auction/constrained bidding/selection order bid/set collection/simultaneous action selection;auction;fixed turns;45;fantasy/mythology;2-5 (3);;2;2;7.48;-0.09;10;7.6;7;Serge Laget;2020;;bga;3;
153;Abyss;0;0;0;0;0;0;0;0;0;7.45;0;1;0;0;0;0;0;0;0;0
154;Rauha;0;0;0;0;0;0;0;0;0;7.44;0;1;0;0;0;0;0;0;0;0
155;Villagers;0;0;0;0;0;0;0;0;0;7.42;0;1;0;0;0;0;0;0;0;0
162;GOLDblivion;deck, bag and pool building/income/tags;progressive;progressive;30;fantasy;1-4 (2);;2;2;7.41;-0.04;4;7;7;Jean-Francois Gauthier;2023;;bga;5;
142;Naishi;hand management;strict clockwise;player call;20;medieval/Japan;2;;2;3;7.39;0.04;8;7.5;7;Mathieu Bieri/Alex Fortineau;2024;;bga;2;
117;Azul;end game boni/open drafting/pattern building/set collection/tile placement;claim;condition;30;abstract;2-4 (2);;2;3;7.39;0.04;16;7.7;7;Michael Kiesling;2017;Azul: Stained Glass of Sintra;bga;36;bag/board/player boards/tokens
157;Seasons;0;0;0;0;0;0;0;0;0;7.39;0;1;0;0;0;0;0;0;0;0
189;Mexica;action points/area majority/contracts/enclosure/grid movement/square grid/tile placement/variable set-up/zone of control;strict clockwise;running out;90;ancient Mexico/abstract;2-4 (4);;3;3;7.38;-0.17;4;7.2;7;Michael Kiesling/Wolfgang Kramer;2002;;bga;3;
187;Gizmos;action queue/contracts/open drafting/tableau building;strict clockwise;condition;45;robots;2-4 (3);;2;1;7.38;-0.05;12;7.4;7;Phil Walker-Harding;2018;;bga;5;tiles/marbles
182;Ticket to Ride;connections/contracts/end game boni/hand management/network and route building/open drafting/push your luck/set collection;strict clockwise;condition;45;railroads;2-5 (3);;2;2;7.36;-0.03;16;7.4;7;Alan R. Moon;2004;Ticket to Ride: Europe/Ticket to Ride: India/Ticket to Ride:Switzerland/Ticket to Ride: Nordic Countries/Ticket to Ride Germany;own;350;board/cards/meeple
108;Beer & Bread;closed drafting/highest lowest scoring/multi-use cards;stat based;fixed turns;40;medieval/food;2;;2;2;7.35;0.11;9;7.4;7;Scott Almes;2022;;bga;0;0
124;Akropolis;auction/end game boni/layering/open drafting/pattern building/tile placement;progressive;fixed turns;30;ancientworld;2-4 (4);;2;1;7.33;0.04;16;7.5;7;Jules Messaud;2022;;bga;2;tiles/tokens
127;Colt Express;action queue/hand management/memory/programmed movement/take that/variable player powers;progressive;fixed turns;40;wildwest;2-6 (5);;2;4;7.32;0.04;16;7.1;7;Christophe Raimbault;2014;;bga;2;train/meeples/tokens/cards
122;7 Wonders;closed drafting/hand management/neighbor scope/set collection/simultaneous action selection/tableau building/variable player powers;simultaneous;fixed turns;30;ancientworld;3-7 (4);;2;2;7.28;0.05;16;7.7;7;Antoine Bauza;2010;;uni game night;9;player boards/cards
178;Great Western Trail: El Paso;deck, bag and pool building/hand management/ownership/set collection/tableau building/track movement/variable set-up;strict clockwise;condition;75;cowboys;1-4 (3);;3;2;7.27;-0.05;6;7;7;Alexander Pfister;2025;;bga;3;
163;Valeria: Card Kingdoms;open drafting/random production/tableau building/variable set-up;strict clockwise;running out;40;fantasy;2-4 (3);;2;2;7.23;0.03;3;7.4;7;Isaias Vallejo;2016;;Jannis;1;cards/D6
168;The Great Split;closed drafting/I cut, you choose/simultaneous action selection/tech tracks/variable set-up;simultaneous;fixed turns;45;twenties;2-7 (6);;2;3;7.19;0.0;12;7;7;Hjalmar Hach/Lorenzo Silva;2022;;bga;2;
165;The Vale of Eternity;hand management/market/open drafting;prpgressive;race;40;fantasy;2-4 (3);;3;2;7.18;0.01;16;7.7;7;Eric Hong;2023;;Stefan;5;cards/currency
180;Colorado;flip and write/race;strict clockwise;race;45;wildwest;2-4 (3);;2;3;7.17;-0.17;2;7;7;Joachim Thome;2023;;bga;1;0
175;Monster Expedition;end game boni/market/open drafting/push your luck/re-rolling and locking/variable player powers;strict clockwise;running out;30;fantasy/monsters;1-4 (3);;2;2;7.17;-0.09;2;6.8;7;Alexander Pfister;2020;;Jannis;0;0
197;Cosmoctopus;area movement/hand management/modular board/open drafting/variable set-up;strict clockwise;race;60;fantasy/horror;2-4 (2);(C);2;1;7.16;-0.05;10;7.3;7;Henry Audubon;2023;;bga;5;
156;Castles of Mad King Ludwig;end game boni/hidden victory points/I cut, you choose/increase value of unchosen resources/pattern building/set collection/tile placement;progressive;running out;90;King Ludwig II;2-4 (4);;2;3;7.11;0.1;4;7.5;7;Ted Alspach;2014;;bga;5;
109;Harmonies;open drafting/pattern building/tile placement;strict clockwise;condition;40;nature/animals;1-4 (2);;2;1;7.09;0.08;14;8.2;7;Johan Benvenuto;2024;;bga;1;playerboards/tokens/cards
217;Betrayal at House on the Hill;map addition/modular board/role playing/storytelling/variable player powers;strict clockwise;condition;60;horror;3-6 (5);(C/T);2;5;7.06;-0.09;9;7;7;Bruce Glassco/Rob Daviau;2004;;Christoph;2;0
191;Patchwork;grid coverage/income/open drafting/rondel/square grid/tile placement/victory points as a resource;time track;condition;20;abstract;2;;2;1;7.06;-0.02;16;7.6;7;Uwe Rosenberg;2014;;bga;5;player boards/tiles/currency
177;The Isle of Cats;0;0;0;0;0;0;0;0;0;7.05;0;1;0;0;0;0;0;0;0;0
115;CATAN;chaining/hex grid/income/modular board/negotiation/network and route building/random production/trading/variable set-up;strict clockwise;race;120;expansion;3-4 (4);;2;3;7.02;0.07;16;7.1;7;Klaus Teuber;1995;CATAN: New Energies;own;200;cards/D6/meeple/modular boards
213;Hanamikoji;area majority/force commitment/hand management/I cut, you choose;simultaneous;race;10;Japan;2;;2;2;7.01;-0.05;13;7.5;7;Kota Nakayama;2013;;bga;5;cards/tokens
176;Cryptid;deduction/hex grid/modular board/pattern recognition;strict clockwise;race;40;monster;3-5 (4);;3;4;7.0;0.0;16;7.4;7;Hal Duncan/Ruth Veevers;2018;;Jannis, Philipp F.;5;
252;Doppelkopf;hand management/trick taking;trick taker;fixed turns;60;abstract;4;T/1 vs. X;3;3;6.98;-0.08;16;7.6;7;unknown;1895;;own;15;french deck (9 to A)
179;Coal Baron;action points/contracts/pick-up and deliver/set collection/tile placement/worker placement;strict clockwise;fixed turns;60;industry;2-4 (3);;2;2;6.97;0.01;9;7.3;7;Michael Kiesling/Wolfgang Kramer;2013;;bga;2;
190;Magic: The Gathering;bluffing/closed drafting/deck construction/hand management/income/interrupts/player elimination/tags/take that;strict clockwise;player elimination;20;fantasy;2-5 (2);;4;4;6.96;-0.01;16;7.6;7;Richard Garfield;1993;Disney Lorcana;Sherwin;1;personal cards
193;Planet Unknown;end game boni/grid coverage/grid movement/hidden victory points/map addition/neighbor scope/network and route building/open drafting/pattern building/rondel/simultaneous action selection/square grid/tags/tech tracks/tile placement/variable player powers;progressive;;60;sciencefiction;1-6 (4);;2;2;6.93;-0.02;11;7.8;7;Ryan Lambert/Adam Rehberg;2022;;bga;5;
188;Moving Wild;closed drafting/hand management/melding and splaying/set collection;simultaneous;fixed turns;20;animals;1-6 (3);;2;3;6.92;-0.03;3;7;7;Chris Priscott;2024;;Mika;1;cards
265;Cartographers;bingo/drawing/end game boni/flip and write/grid coverage/paper and pencil/simultaneous action selection/square grid/variable set-up;simultaneous;condition;30;fantasy;1+ (2);;1;2;6.84;-0.08;16;7.6;7;Jordy Adan;2019;;bga;16;cards/pencils/writing sheet
311;Jaipur;hand management/hidden victory points/market/open drafting/score and reset/set collection;strict clockwise;condition;30;India/trading;2;;2;1;6.83;-0.14;16;7.5;7;Sebastian Pauchon;2009;;bga;5;cards/tokens
196;The Lord of the Rings: Journeys in Middle-Earth;deck, bag and pool building/map addition/modular board/role playing/scenario/stat check resolution/variable player powers;variable;condition;90;fantasy/lordoftherings;1-5 (4);0;3;4;6.81;-0.01;16;7.9;7;Nathan I. Hajek/Grace Holdinghaus;2019;;Thomas;1;
355;Poker;betting/bluffing/gambling/player elimination/set collection;strict clockwise;player elimination/fixed turns;30;abstract;2-8 (4);;2;2;6.8;-0.21;14;6.7;7;unknown;1810;;diverse;25;english deck (2 to A)/currency
235;Space Base;open drafting/random production/tableau building;strict clockwise;race;60;sciencefiction;2-5 (3);;2;2;6.8;-0.05;16;7.5;7;John D. Clair;2018;;bga;6;cards/D6
151;Bomb Busters;communication limits/deduction/memory/once per game abilities/scenario/sudden death ending;real time;sudden death/condition;30;spies;2-5 (4);C;2;4;6.78;0.09;9;7.9;7;Hisashi Hayashi;2024;;Stefan;1;
159;Wandering Towers;hand management/memory/race/rondel/track movement;strict clockwise;race;30;abstract;3-6 (4);;2;3;6.78;0.28;3;7.3;6;Michael Kiesling/Wolfgang Kramer;2022;;bga;5;
199;Railroad Ink: Deep Blue Edition;bingo/connections/roll and write/line drawing/network and route building/paper and pencil/simultaneous action selection;simultaneous;fixed turns;10;railroads;1+ (2);;2;1;6.77;-0.01;16;7.2;7;Hjalmar Hach/Lorenzo Silva;2018;;bga;23;writing sheets/pens/dice
232;Axis & Allies: 1942;area movement/income/player elimination/simulation;strict clockwise;player elimination;240;war/second world war;2-5 (2);T;4;4;6.75;-0.04;16;6.9;7;Larry Harris;2009;;Florian;3;
272;Carcassonne;area majority/enclosure/map addition/pattern building/tile placement;strict clockwise;fixed turns;40;medieval/france;2-5 (3);;2;3;6.73;-0.08;16;7.4;7;Hans-Juergen Wrede;2000;Carcassonne: Hunters and Gatherers;own;80;meeple/tiles
183;Sea Salt & Paper;hand management/open drafting/push your luck/score and reset/set collection/sudden death ending;strict clockwise;race;20;ocean/animals;2-4 (2);;2;3;6.69;0.02;16;7.5;7;Bruno Cathala/Theo Riviere;2022;;own;1260;
166;Sky Team;communication limits/dice workers/scenario/simulation/worker placement;progressive;fixed turns;15;aviation;2;0;2;4;6.68;0.04;14;8.2;7;Luc Remond;2023;;bga;20;player boards/D6/custom dice
279;Arboretum;hand management/pattern building/set collection/tile placement;strict clockwise;running out;30;trees;2-4 (2);;2;2;6.67;-0.19;8;7.3;7;Dan Cassar;2015;;bga;2;
241;Finca;contracts/mancala/once per game abilities/rondel/set collection;strict clockwise;condition;45;mallorca;2-4 (2);;2;2;6.67;-0.09;9;7.1;7;Wolfgang Sentker/Ralf zur Linde;2009;;bga;8;
229;Dorfromantik: The Board Game;area majority/hexagon grid/map addition/modular board/scenario/tile placement/variable player powers;strict clockwise;running out;45;village;1-3 (2);C;2;4;6.6;-0.42;2;7.6;7;Michael Palm/Lukas Zach;2022;0;0;0;0
227;Skat;auction/communication limits/trick taking;trick taker;fixed turns;45;abstract;3;(T);3;3;6.59;-0.03;16;7.2;7;unknown;1810;;own;20;french deck (7 to A)
158;Oriflamme;action queue/bluffing/card line/hand management/take that;progressive;fixed turns;20;medieval/spies;3-5 (5);;2;2;6.59;0.05;16;7.1;6;Adrien Hesling/Axel Hesling;2019;;own;7;cards/tokens
250;Potion Explosion;open drafting/pattern recognition/set collection/take that/variable set-up;strict clockwise;condition;30;magic;2-4 (3);;2;2;6.58;-0.05;16;7.1;7;Stefano Castelli/Andrea Crespi/Lorenzo Silva;2015;;bga;8;boards/marble contraption/marbles/tiles
211;Botanicus;action drafting/grid coverage/grid movement/modular board/resource to move/set collection/tile placement/variable set-up;stat based;fixed turns;60;gardening;2-4 (3);;2;1;6.55;-0.01;7;7.5;6;Samuele Tabellini Ferrari/Vieri Masseini;2024;;bga;5;
140;Forest Shuffle;end game boni/hand management/layering/multi-use cards/open drafting/set collection/tags;strict clockwise;condition;40;nature/animals;2-4 (2);;3;1;6.55;0.08;16;7.6;6;Kosch;2023;;bga;6;cards
220;Dracula vs Van Helsing;area majority/card play conflict resolution/force commitment/hand management;strict clockwise;condition;30;Dracula;2;;2;3;6.51;-0.06;4;7.4;7;Maxime Rambourg/Theo Riviere;2023;;bga;0;
204;Habitats;grid movement/open drafting/pattern building/square grid/tile placement;strict clockwise;fixed turns;40;animals/safari;1-5 (3);;2;1;6.48;0.11;2;7.4;6;Corne van Moorsel;2016;;bga;3;
192;Takenoko;action points/contracts/end game boni/grid movement/hex grid/modular board/network and route building/pattern building/set collection/tile placement;strict clockwise;race;45;animals;2-4 (3);;2;1;6.46;0.02;16;7.2;6;Antoine Bauza;2011;;bga;5;
266;Splendor;contracts/open drafting/set collection/tableau building;strict clockwise;race;30;crafting;2-4 (3);;2;2;6.45;-0.06;16;7.4;6;Marc Andre;2014;Splendor Duel;bga;6;cards/tokens
181;Saint Petersburg;income/open drafting/set collection/tableau building;progressive;condition;60;Russia;2-4 (4);;2;2;6.43;0.04;16;7.3;6;Bernd Brunnhofer;2004;;bga;5;board/cards
198;Histrio;action queue/hand management/simultaneous action selection;role order;fixed turns;40;animals/theatre;3-5 (3);;2;3;6.42;0.04;9;6.6;6;Bruno Cathala/Christian Martinez;2016;;Jannis;0;
186;Legends of Andor;area movement/scenario/variable player powers;strict clockwise;sudden death/condition;90;fantasy;2-4 (4);C;3;3;6.4;0.04;14;7.1;6;Michael Menzel;2012;;Papa;3;
218;Dewan;0;0;0;0;0;0;0;0;0;6.37;0;1;0;0;0;0;0;0;0;0
135;King of Tokyo;die icon resolution/king of the hill/open drafting/player elimination/push your luck/re-rolling and locking/tags;strict clockwise;player elimination/race;30;monster/Japan;2-6 (5);;1;4;6.33;0.09;16;7.1;6;Richard Garfield;2011;;uni game night;50;board/cards/cardboard standee/custom D6/tokens
253;Luxor;hand management/modular board/random move/set collection/track movement;strict clockwise;race;45;archeology/ancient Egypt;2-4 (4);;2;3;6.31;-0.09;7;7.2;6;Rudiger Dorn;2018;;bga;3;
350;Time's Up!;acting/communication limits/memory;strict clockwise;variable;45;abstract;4+ (6);T;1;4;6.26;-0.14;16;7.3;6;Peter Sarrett;1999;;uni game night;2;
195;Magic Maze on Mars;grid movement/modular board;simultaneous;timer;5;space/mars;2-6 (3);C;2;5;6.23;0.07;9;7;6;Kasper Lapp;2019;;Antares;1;
264;Formula D;different dice movement/grid movement/movement points/player elimination/push your luck/race/random movement/simulation;stat based;race;60;racing cars;3-10 (6);;1;2;6.19;-0.6;2;7;7;Laurent Lavaur/Eric Randall;2008;;bga;5;
137;Draft & Write Records;chaining/closed drafting/connections/contracts/grid coverage/hidden victory points/line drawing/map addition/paper and pencil/pattern building/point to point movement/roll and write/set collection/simultaneous action selection/square grid/tags/track movement;simultaneous;condition;45;music;1-6 (3);;2;2;6.18;0.14;12;7.3;6;Bruno Maciel;2024;;bga;4;
268;7 Wonders: Architects;neighbor scope/open drafting/set collection/variable player powers;strict clockwise;race;25;ancientworld;2-7 (3);;2;2;6.17;-0.04;16;7;6;Antoine Bauza;2021;;bga;15;
208;Middle Ages;modular board/open drafting/set collection/take that/tile placement/variable set-up;stat based;fixed turns;30;medieval/city;2-5 (3);;2;2;6.17;0.18;3;7.2;6;Marc Andre;2024;;bga;5;
230;Tipperary;0;0;0;0;0;0;0;0;0;6.16;0;1;0;0;0;0;0;0;0;0
231;Mü & More;0;0;0;0;0;0;0;0;0;6.15;0;1;0;0;0;0;0;0;0;0
236;Sushi Go!;closed drafting/end game boni/hand management/set collection/simultaneous action selection/variable set-up;simultaneous;fixed turns;20;food;3-5 (4);;1;2;6.14;-0.0;16;7.4;6;Phil Walker-Harding;2016;;bga;2;cards
203;Fiesta Mexicana;auction/contracts/square grid;simultaneous;completion;30;mexico/food;2-4 (4);;1;2;6.14;0.47;2;6.6;6;Christian Fiore/Knut Happel;2020;;Bibliothek game night;1;
130;Castle Combo;end game boni/multi-use cards/open drafting/set collection/tags/tile placement;strict clockwise;completion;15;medieval;2-5 (2);;2;1;6.13;0.17;11;7.5;6;Gregory Grard/Mathieu Roussel;2024;;bga;1;cards
216;Las Vegas Royale;area majority;stat based;fixed turns;60;casino/gambling;3-5 (5);;1;3;6.12;0.28;2;7.5;6;Rudiger Dorn;2019;;Bibliothek game night;1;
233;The Builders: Middle Ages;0;0;0;0;0;0;0;0;0;6.11;0;1;0;0;0;0;0;0;0;0
262;Imhotep;area majority/end game boni/modular board/set collection/worker placement;strict clockwise;fixed turns;40;ancientworld/Egypt;2-4 (4);;2;3;6.1;-0.03;16;7.1;6;Phil Walker-Harding;2016;;bga;3;
225;Cities;closed drafting/contracts/open drafting/pattern building/set collection/tile placement/variable set-up/worker placement;claim;fixed turns;45;city building;2-4 (4);;1;2;6.1;0.07;3;7.3;6;Steve Finn/Phil Walker-Harding;2024;;bga;10;
200;Alhambra;hand management/open drafting/set collection/tile placement;strict clockwise;running out;45;medieval/spain;2-6 (3);;2;2;6.08;0.04;16;7;6;Dirk Henn;2003;;own;35;
305;Spicy;bluffing/hand management;strict clockwise;race;15;food;3-6 (4);;1;4;6.06;-0.08;16;7.2;6;Gyori Zoltan Gabor;2020;;Stefan;6;cards
210;Santorini;grid movement/map reduction/square grid/three dimensional movement/variable player powers;strict clockwise;condition;20;abstract;2;;1;4;6.06;0.03;16;7.4;6;Gordon Hamilton;2016;;bga;1;
234;Regicide;card play conflict resolution/communication limits/hand management/sudden death ending/variable set-up;stat based;sudden death;20;abstract;1-4 (2);;2;3;6.05;0.02;3;7.4;6;Paul Abrahams/Luke Badger/Andy Richdale;2020;;own;10;cards
219;Thurn and Taxis;hand management/network and route building/open drafting/set collection;strict clockwise;running out;60;Renaissance;2-4 (4);;2;2;6.03;0.02;16;7.1;6;Andreas Seyfarth/Karen Seyfarth;2006;;uni game night, bga;3;board/cards/meeple/tokens
238;Hardback;0;0;0;0;0;0;0;0;0;6.03;0;1;0;0;0;0;0;0;0;0
222;Mansions of Madness;area movement/hand management/map addition/modular board/role playing/scenario/stat check resolution/variable player powers;variable;condition;150;horror;2-5 (5);C;3;4;5.98;0.02;16;7.9;6;Corey Konieczka;2016;;Thomas;1;
185;Next Station: London;bingo/connections/end game boni/flip and write/line drawing/network and route building/paper and pencil;simultaneous;fixed turns;25;railroads;1-4 (2);;1;1;5.93;0.07;16;7.5;6;Matthew Dunstan;2022;Next Station: Tokio/Next Station: Paris;bga;25;cards/pencils/writing sheet
249;Elfenland;network and route building/open drafting/point to point movement/programmed movement;progressive;fixed turns;60;fantasy;2-6 (4);;2;2;5.92;-0.01;14;6.7;6;Alan R. Moon;1998;;Jan;8;board/cards/meeple/tiles
206;Fantasy Realms;end game boni/hand management/open drafting/set collection;strict clockwise;fixed turns;10;fantasy;2-7 (3);;2;1;5.92;0.04;16;7.5;6;Bruce Glassco;2017;;Stefan;1;cards
174;Zombicide: Black Plague;modular board/scenario/variable player powers;progressive;player elimination/condition;120;monsters/zombies;1-6 (3);C;3;3;5.91;0.09;14;7.6;6;Raphael Guiton/Jean Baptiste Lullien/Nicolas Raoult;2015;;Christoph;1;cards/D6/miniatures/player boards/tokens/variable boards
246;Go Goa;0;0;0;0;0;0;0;0;0;5.9;0;1;0;0;0;0;0;0;0;0
128;Looot;modular board/network and route building/once per game abilities/tile placement/worker placement;strict clockwise;running out;30;vikings;2-4 (2);;1;3;5.81;0.3;8;7.1;6;Charles Chevallier/Laurent Escoffier;2024;;bga;0;
212;Skull King;hand management/predictive bid/trick taking;trick taker;fixed turns;45;magic;3-6 (4);;2;2;5.8;0.04;16;7;6;Brent Beck/Jeffrey Beck;1984;;own;200;cards
205;Chess;grid movement/once per game abilities/pattern movement/square grid/static capture/sudden death ending;strict clockwise;sudden death;30;abstract;2;;3;3;5.8;0.05;16;7.2;6;unknown;1400;;diverse;50;chessboard/miniatures
247;SCOUT;hand management/ladder climbing/score and reset;progressive;fixed turns;20;circus;3-5 (5);;2;1;5.79;0.01;16;7.8;6;Kei Kajino;2019;;Mika;10;cards/tokens
276;Codenames;communication limits/deduction/memory/give a clue, get a clue/push your luck;strict clockwise;fixed turns;15;spies;4+ (4);T;1;4;5.78;-0.03;16;7.5;6;Vlaada Chvatil;2015;Codenames: Picures;uni game night;35;cards/tokens
315;Dice Hospital;action drafting/action points/dice drafting/dice workers/hexagon grid/I cut, you choose/modular board/variable phase order/worker placement;progressive;fixed turns;60;hospital;1-4 (3);;2;3;5.77;-0.34;4;7.1;6;Stan Kordonskiy/Mike Nudd;2018;;bga;3;
251;So Clover!;communication limits/give a clue, get a clue;strict clockwise;fixed turns;30;abstract;2-6 (4);C;1;4;5.77;0.0;16;7.6;6;Francois Romain;2021;;uni game night;2;pens/writing sheets
228;IYE;grid movement/set collection/square grid/sudden death ending;strict clockwise;race;15;abstract;2;;1;2;5.76;0.44;2;6.8;6;Onur Sencan;2025;;bga;5;
288;Dead Man's Draw;push your luck/set collection/take that/variable player powers;;running out;15;pirates;2-4 (4);;1;2;5.75;-0.19;4;6.9;6;Derek Paxton;2014;;Moritz Freund;3;
248;Jekyll vs. Hyde;take that/trick taking/tug of war/variable phase order;stat based;fixed turns;30;Jekyllvs.Hyde;2;;2;3;5.74;0.01;14;7.2;6;Geonil;2021;;bga;3;cards
290;Orion Duel;hex grid/network and route building/tile placement;strict clockwise;sudden death;25;space/abstract;2;;1;3;5.73;-0.05;13;7.1;6;Alberto Branciari/Andrea Mainini;2023;;bga;2;board/tiles
256;Tiny Towns;end game boni/follow/grid coverage/pattern building/player elimination/square grid/variable phase order/variable player powers/variable set-up;progressive;completion;45;city building;1-5 (3);;2;2;5.73;-0.0;3;7.2;6;Peter McPherson;2019;;bga;3;
257;Earth;contracts/end game boni/follow/hand management/pattern building/tableau building/tags/tile placement/variable set-up/victory points as a resource;strict clockwise;completion;60;nature/plants;1-5 (2);;3;1;5.73;-0.0;16;7.7;6;Maxime Tardif;2023;;bga;5;board/cards
237;Risk: The Lord of the Rings;area majority/area movement/player elimination;strict clockwise;player elimination/condition;120;war/fantasy/lordoftherings;3/4 (4);;2;4;5.7;0.02;16;6.4;6;Stephen Baker/Jean-Rene Vernes/Barry Yearsley;2003;;own;110;
282;Love Letter;deduction/hand management/player elimination/score and reset/take that;stat based;player elimination;15;medieval;3-8 (4);;2;3;5.68;-0.03;16;7.2;6;Seiji Kanai;2012;;bga;12;cards/tokens
260;Beasty Bar;action queue/hand management/take that;strict clockwise;running out;20;night life/animals;2-4 (4);;1;3;5.67;-0.0;7;6.8;6;Stefan Kloss;2014;;Jannis;1;
215;Go;chaining/enclosure/pattern building/pattern recognition/square grid;strict clockwise;sudden death;45;abstract;2;;3;3;5.63;0.05;16;7.7;6;unknown;-2200;;bga;4;board/tokens
223;Get on Board: New York & London;bingo/connections/flip and write/line drawing/network and route building/paper and pencil;simultaneous;race;30;publictransit/bus;2-5 (3);;2;1;5.62;0.04;16;7;6;Saashi;2022;;bga;2;
263;Space Lab;0;0;0;0;0;0;0;0;0;5.61;0;1;0;0;0;0;0;0;0;0
255;For Sale;auction/hand management/selection order bid;stat based;fixed turns;30;housing market;3-6 (5);;1;3;5.55;0.19;2;7.3;6;Stefan Dorra;1997;;bga;5;0
207;The Fox in the Forest Duet;communication limits/hand management/map reduction/sudden death ending/trick taking/variable set-up;stat based;fixed turns/sudden death;30;fairytales;2;C;2;3;5.51;0.07;16;7;6;unknown;2020;;own;30;cards/tokens
269;Fugitive (Second Edition);0;0;0;0;0;0;0;0;0;5.51;0;1;0;0;0;0;0;0;0;0
209;Panda Spin;hand management/ladder climbing/melding and splaying/set collection;ladder climbing;fixed turns;40;abstract;2-5 (4);;2;2;5.5;0.51;3;7.1;6;Carl Chudyk;2024;;bga;3;cards
271;Captain Sonar;deduction/grid movement/hidden movement/line drawing/real time/role playing/secret unit deployment/simulation;strict clockwise;player elimination;60;war;2/4/6/8 (6);;3;3;5.49;-0.0;16;7.5;6;Roberto Fraga/Yohan Lemonnier;2016;;bga;1;
270;Mythicals;0;0;0;0;0;0;0;0;0;5.49;0;1;0;0;0;0;0;0;0;0
254;Tholos;area majority;strict clockwise;completion;20;abstract;2;;2;3;5.47;0.15;3;7.3;6;David Bernal;2021;;bga;10;board/tokens
240;Kingdom Builder;area majority/chaining/enclosure/grid movement/hexagon grid/modular board/network and route building/pattern building/tile placement/variable set-up;simultaneous;fixed turns;45;fantasy;2-4 (4);;2;1;5.47;0.26;3;6.9;6;Donald X. Vaccarino;2011;;bga;5;
226;Coffee Rush;contracts/grid movement;progressive;condition;30;coffee;2-4 (3);;2;1;5.46;0.26;4;7.1;6;Euijin Han;2023;;bga;5;
243;The Fox in the Forest;hand management/trick taking;stat based;race;30;fairytales;2;;2;2;5.45;0.03;16;7.1;6;Joshua Buergel;2017;;own;20;cards/tokens
194;After Us;deck, bag and pool building/melding and splaying/simultaneous action selection;strict clockwise;race;45;apocalypse/animals/apes;1-6 (3);;2;1;5.43;0.1;15;6.8;6;Florian Sirieix;2023;;bga;1;cards/resources
221;War Chest;area majority/deck, bag and pool building/grid movement/hand management/hex grid/variable player powers;claim;player elimination;30;abstract;2/4 (2);;2;3;5.41;0.06;16;7.9;6;Trevor Benjamin/David Thompson;2018;;bga;2;board/chips
258;Bohnanza;hand management/multi-use cards/negotiation/trading;strict clockwise;running out;45;farming;3-5 (5);;2;4;5.4;0.02;16;7.1;6;Uwe Rosenberg;1997;;own;30;cards
296;MLEM: Space Agency;area majority/push your luck/track movement;progressive;fixed turns;60;cats;2-5 (4);;2;1;5.38;-0.03;14;7.2;6;Reiner Knizia;2024;;bga;1;
277;Pergola;0;0;0;0;0;0;0;0;0;5.38;0;1;0;0;0;0;0;0;0;0
245;Pandemic;action points/hand management/point to point movement/set collection/tags/variable player powers;strict clockwise;condition/fixed turns;45;disease;2-4 (4);C;2;4;5.37;0.04;16;7.5;6;Matt Leacock;2008;;own;15;board/cards/meeple/tokens
259;FlipToons;deck, bag and pool building/market/open drafting/score and reset/victory points as a resource;simultaneous;race;30;animals;1-4 (3);;2;2;5.36;0.1;4;7.2;6;Jordy Adan/Renato Simoes;2025;;bga;5;
278;Bohemians;0;0;0;0;0;0;0;0;0;5.36;0;1;0;0;0;0;0;0;0;0
342;Agent Avenue;hand management/I cut, you choose/relative movement/set collection/track movement;strict clockwise;;15;spies;2/4 (2);T;1;4;5.33;-0.17;7;7.8;6;Christian Kudahl/Laura Kudahl;2024;;Jannis;1;
280;Clever 4Ever;0;0;0;0;0;0;0;0;0;5.33;0;1;0;0;0;0;0;0;0;0
325;Druids;hand management/set collection/trick taking;stat based;fixed turns;45;magic;3-5 (5);;1;2;5.28;-0.05;14;6.5;6;Gunter Burkhardt/Wolfgang Lehmann;2017;;Christoph;1;cards
286;Viva Catrina;0;0;0;0;0;0;0;0;0;5.23;0;1;0;0;0;0;0;0;0;0
356;Coloretto;open drafting/push your luck/set collection/take that;pass order;condition;30;abstract;2-5 (4);;1;3;5.22;-0.08;15;7;6;Michael Schacht;2003;;bga;10;cards
273;Cóatl;contracts/hand management/once per game abilities/open drafting/pattern building/set collection;strict clockwise;race;45;monster/mesoamerica;1-4 (3);;2;1;5.21;0.23;2;6.8;6;Pascale Brassard/Etienne Dubois Roy;2020;;bga;3;
287;Harvest;0;0;0;0;0;0;0;0;0;5.21;0;1;0;0;0;0;0;0;0;0
