Rank;Name;Central Mechanisms;Turn Order;Game End Condition;Duration;Theme;Player Amount;Cooperative;Complexity;Interactivity;Relative Rating;Change Rel. Rating;Rank Count;BGG Rating;My Rating;Author(s);Year Of Release;Similar Games;Played With;Play Count;Game Material
40;Beyond the Sun;area majority/contracts/events/income/point to point movement/tableau building/tech tracks/worker placement;strict clockwise;condition;90;sciencefiction;2-4 (3);;4;2;8.99;0.03;15;7.9;8;Dennis K. Chan;2020;;bga;4;
66;Foundations of Rome;auction/income/market/ownership/square grid/tile placement;strict clockwise;;90;ancient Romans;2-5 (4);;2;3;8.98;-0.04;3;8;8;Emerson Matsuuchi;2022;;bga;1;
71;Rats of Wistar;contracts/events/variable set-up/worker placement;claim;fixed turn;90;animals/rats;1-4 (3);;3;3;8.96;-0.02;8;7.5;8;Simone Luciani/Danilo Sabia;2023;;bga;1;
70;Race for the Galaxy;follow/hand management/multi-use cards/simultaneous action selection/tableau building/tags;simultaneous;race;30;sciencefiction;2-4 (2);;4;1;8.9;-0.0;16;7.7;8;Thomas Lehmann;2007;;own;15;cards
45;Unmatched Game System;action points/card play conflict resolution/hand management/line of sight/player elimination/point to point movement/variable player powers;strict clockwise;player elimination;30;fairytales;2/4 (4);T;3;4;8.9;0.02;16;8.3;8;Rob Daviau;2019;;David;3;board/miniatures/personal card deck
59;Meadow;different workers/hand management/layering/open drafting/set collection/tableau building/worker placement;progressive;fixed turns;60;nature;1-4 (2);;2;3;8.88;0.02;8;7.7;8;Klemens Kalicki;2021;;Jannis;1;
81;Puerto Rico;action drafting/end game boni/follow/hidden victory points/increase value of unchosen resources/tableau building/variable phase order;progressive;condition;120;colonies;2-5 (4);;3;2;8.87;-0.01;15;7.9;8;Andreas Seyfarth;2002;;bga;3;
56;Troyes;area majority/dice workers/different workers/end game boni/events/hidden victory points/income/ownership/set collection/slide/variable set-up/worker placement;progressive;;90;Troyes/medieval/France;2-4 (3);;3;3;8.85;0.11;3;7.7;8;Sebastien Dujardin/Xavier Georges/Alain Orban;2010;;bga;5;0
61;Ark Nova;action queue/end game boni/grid coverage/hand management/hex grid/increase value of unchosen resources/open drafting/set collection/tableau building/tags/tile placement/variable player powers;strict clockwise;condition;120;animals/zoo;1-4 (2);;3;2;8.83;0.01;16;8.5;8;Mathias Wigge;2021;;bga;9;board/player boards/cards/currency/meeple
46;The Quest for El Dorado;deck, bag and pool building/delayed purchase/grid movement/hex grid/modular board/multi-use cards/open drafting/race/variable set-up;strict clockwise;race;60;exploration, jungle;2-4 (4);;2;3;8.83;0.11;5;7.7;8;Reiner Knizia;2017;;Jannis;1;0
78;Roll for the Galaxy;action retrieval/deck, bag and pool building/dice workers/contracts/follow/simultaneous action selection/tableau building/variable phase order/variable player powers/worker placement;simultaneous;race;45;sciencefiction;2-5 (3);;3;1;8.78;-0.0;16;7.6;8;Wie-Hwa Huang/Thomas Lehmann;2014;;bga;3;player board/tiles/custom dice
58;3 Ring Circus;area majority/end game boni/hand management/movement points/point to point movement/tableau building;strict clockwise;condition;75;circus/USA;1-4 (4);;3;2;8.78;0.02;13;7.3;8;Remo Conzadori/Fabio Lopiano;2023;;Jannis;1;board/player boards/cards/meeple
73;Isle of Skye: From Chieftain to King;catch the leader/commodity speculation/I cut, you choose/set collection/tile placement;progressive;fixed turns;45;scotland;2-5 (5);;3;4;8.77;0.0;16;7.4;8;Andreas Pelikan/Alexander Pfister;2015;;Felix;2;board/tiles/currency
80;The Wolves;area majority/grid movement/hex grid/modular board/take that/variable set-up;strict clockwise;fixed turns;75;wolves;2-4 (3);;3;3;8.75;-0.01;11;7.3;8;Ashwin Kamath;2022;;bga;2;
76;Karvi;dice workers/point to point movement/resource to move/track movement/worker placement;time track;race;120;vikings;2-4 (2);;3;3;8.72;0.0;10;7.3;8;Torgeir Tjong;2023;;bga;2;0
65;Tikal;action points/area majority/auction/grid movement/hex grid/layering/map addition/modular board/set collection/tile placement/victory points as a resource;strict clockwise;fixed turns;90;exploration/adventure;2-4 (4);;3;3;8.7;0.02;10;7.3;7;Michael Kiesling/Wolfgang Kramer;1999;;Hubert/bga;3;
95;7 Wonders Duel;end game boni/income/layering/market/modular board/multi-use cards/once per game abilities/open drafting/set collection/tableau building/tags/tech tracks/tug of war/variable player powers/variable set-up;strict clockwise;fixed turns/sudden death;30;ancientworld;2;;3;2;8.65;-0.01;16;8.1;7;Antoine Bauza/Bruno Cathala;2015;;uni game night, bga;100;board/cards/currency
67;Apiary;income/multi-use-cards/tile placement/variable player powers/worker placement;strict clockwise;condition;75;science fiction/space/bees;1-5 (3);;3;3;8.65;0.06;5;7.7;7;Connie Vogelmann;2023;;bga;5;
98;Living Forest;deck, bag and pool building/push your luck/simultaneous action selection/tile placement;strict clockwise;race;40;fantasy/animals;1-4 (3);;2;2;8.64;-0.02;13;7.3;7;Aske Christiansen;2021;;bga;7;
